"Date" "Description" "URL" "Price" "User" "Reviews" "Product"
"2015-04-16 ." " MS15-034  Microsoft IIS Remote Code Execution ." " http://trdealmgn4uvm42g.onion/item/c61b9e0d8369546c47b6 ." " BTC 507.42103260 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-04-16 ." " Netis / Netcore router RCE ." " http://trdealmgn4uvm42g.onion/item/26717c05754d8cb16086 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-04-16 ." " NiceGuy Message spammer ." " http://trdealmgn4uvm42g.onion/item/0e404539857089829636 ." " BTC 0.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-04-16 ." " FUD .CHM download and execute ." " http://trdealmgn4uvm42g.onion/item/d25dd79e777d73772b77 ." " BTC 2.00000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-16 ." " Wordpress Comment Spammer + Exploit ." " http://trdealmgn4uvm42g.onion/item/3b40d9e28a79ac0a075e ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-04-16 ." " FUD .js download and execute ." " http://trdealmgn4uvm42g.onion/item/807601744afd4452b307 ." " BTC 1.30000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-16 ." " Agora Message Spammer ." " http://trdealmgn4uvm42g.onion/item/746709460811baa62654 ." " BTC 0.60000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-04-16 ." " Adobe Flash < 16.0.0.296 (CVE-2015-0313) ." " http://trdealmgn4uvm42g.onion/item/9c557991e653a953f398 ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-16 ." " Start your own maket ." " http://trdealmgn4uvm42g.onion/item/eb94d0e39b8f415c54c7 ." " BTC 34.95586822 ." " TRD_OFFICIAL ." " 0 reviews ." " : Source Code"
"2015-04-16 ." " Adobe Flash < 16.0.0.287 (CVE-2015-0311) ." " http://trdealmgn4uvm42g.onion/item/c8b6e0aa68f010099c7a ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : FUD Exploits"
"2015-04-16 ." " Banking malware source code ." " http://trdealmgn4uvm42g.onion/item/ff79f6210bdcbf07c4ef ." " BTC 0.00942700 ." " ping ." " 0 reviews ." " : Source Code"
